world_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
3330.482324,1525,1,0.450049334,0.297775219,3330.479243-0 3330.485404-1,,,,,,,,,,,,,,,
3330.486359,1525,1,0.448600784,0.298322972,3330.487314-0 3330.485404-1,,,,,,,,,,,,,,,
3330.490394,1525,1,0.448232901,0.296784033,3330.487314-0 3330.493474-1,,,,,,,,,,,,,,,
3330.494429,1525,1,0.44907687,0.29702876,3330.495384-0 3330.493474-1,,,,,,,,,,,,,,,
3330.498464,1525,1,0.449401469,0.298095224,3330.495384-0 3330.501544-1,,,,,,,,,,,,,,,
3330.502499,1525,1,0.448990941,0.298371121,3330.503454-0 3330.501544-1,,,,,,,,,,,,,,,
3330.506534,1526,1,0.448931944,0.29825838,3330.503454-0 3330.509614-1,,,,,,,,,,,,,,,
3330.510569,1526,1,0.448204854,0.297831252,3330.511524-0 3330.509614-1,,,,,,,,,,,,,,,
3330.514604,1526,1,0.447679145,0.296869014,3330.511524-0 3330.517684-1,,,,,,,,,,,,,,,
3330.518639,1526,1,0.447042865,0.296358236,3330.519594-0 3330.517684-1,,,,,,,,,,,,,,,
3330.522674,1526,1,0.447000856,0.296946987,3330.519594-0 3330.525754-1,,,,,,,,,,,,,,,
3330.526709,1526,1,0.448550982,0.297238527,3330.527664-0 3330.525754-1,,,,,,,,,,,,,,,
3330.530745,1526,1,0.44919742,0.298690886,3330.527664-0 3330.533825-1,,,,,,,,,,,,,,,
3330.53478,1526,1,0.448458501,0.299122796,3330.535735-0 3330.533825-1,,,,,,,,,,,,,,,
3330.538815,1526,0.994287009,0.447924447,0.29785928,3330.535735-0 3330.541895-1,,,,,,,,,,,,,,,
3330.54285,1527,0.994287009,0.446457702,0.296374512,3330.543805-0 3330.541895-1,,,,,,,,,,,,,,,
3330.546885,1527,1,0.446228609,0.297480356,3330.543805-0 3330.549965-1,,,,,,,,,,,,,,,
3330.55092,1527,1,0.445124674,0.298555077,3330.551875-0 3330.549965-1,,,,,,,,,,,,,,,
3330.554955,1527,1,0.444984498,0.300004647,3330.551875-0 3330.558035-1,,,,,,,,,,,,,,,
3330.55899,1527,1,0.444438142,0.300687459,3330.559945-0 3330.558035-1,,,,,,,,,,,,,,,
3330.563025,1527,1,0.444230971,0.299534804,3330.559945-0 3330.566105-1,,,,,,,,,,,,,,,
3330.56706,1527,1,0.443370748,0.299702348,3330.568015-0 3330.566105-1,,,,,,,,,,,,,,,
3330.571095,1527,1,0.443336087,0.30119316,3330.568015-0 3330.574175-1,,,,,,,,,,,,,,,
3330.57513,1528,1,0.442301839,0.300127197,3330.576085-0 3330.574175-1,,,,,,,,,,,,,,,
3330.579166,1528,1,0.442212542,0.300961076,3330.576085-0 3330.582246-1,,,,,,,,,,,,,,,
3330.583201,1528,1,0.442438804,0.300638846,3330.584155-0 3330.582246-1,,,,,,,,,,,,,,,
3330.587236,1528,1,0.442333484,0.300828762,3330.584155-0 3330.590316-1,,,,,,,,,,,,,,,
3330.591271,1528,1,0.439745238,0.301636454,3330.592226-0 3330.590316-1,,,,,,,,,,,,,,,
3330.595306,1528,1,0.439266359,0.300703358,3330.592226-0 3330.598386-1,,,,,,,,,,,,,,,
3330.599341,1528,1,0.43962268,0.300171644,3330.600296-0 3330.598386-1,,,,,,,,,,,,,,,
3330.603376,1528,1,0.439217475,0.300188953,3330.600296-0 3330.606456-1,,,,,,,,,,,,,,,
3330.607411,1529,1,0.437207101,0.30145961,3330.608366-0 3330.606456-1,,,,,,,,,,,,,,,
3330.611446,1529,1,0.43700963,0.302928049,3330.608366-0 3330.614526-1,,,,,,,,,,,,,,,
3330.615481,1529,1,0.434932291,0.301270049,3330.616436-0 3330.614526-1,,,,,,,,,,,,,,,
3330.619516,1529,1,0.434455593,0.301573404,3330.616436-0 3330.622596-1,,,,,,,,,,,,,,,
3330.623551,1529,1,0.43398644,0.303300735,3330.624506-0 3330.622596-1,,,,,,,,,,,,,,,
3330.627586,1529,1,0.433983047,0.304319675,3330.624506-0 3330.630666-1,,,,,,,,,,,,,,,
3330.631621,1529,1,0.433218718,0.304175348,3330.632576-0 3330.630666-1,,,,,,,,,,,,,,,
3330.635657,1529,1,0.432918283,0.304892779,3330.632576-0 3330.638737-1,,,,,,,,,,,,,,,
3330.639692,1530,1,0.431450576,0.303703819,3330.640647-0 3330.638737-1,,,,,,,,,,,,,,,
3330.643727,1530,1,0.431003672,0.30403144,3330.640647-0 3330.646807-1,,,,,,,,,,,,,,,
3330.647762,1530,1,0.429362896,0.305090075,3330.648717-0 3330.646807-1,,,,,,,,,,,,,,,
3330.651797,1530,1,0.429434959,0.305499715,3330.648717-0 3330.654877-1,,,,,,,,,,,,,,,
3330.655832,1530,1,0.431120386,0.3065086,3330.656787-0 3330.654877-1,,,,,,,,,,,,,,,
3330.659867,1530,1,0.432519259,0.309513915,3330.656787-0 3330.662947-1,,,,,,,,,,,,,,,
3330.663902,1530,1,0.435626436,0.310968836,3330.664857-0 3330.662947-1,,,,,,,,,,,,,,,
3330.667937,1530,1,0.436160713,0.313031573,3330.664857-0 3330.671017-1,,,,,,,,,,,,,,,
3330.671972,1530,1,0.432747092,0.31422317,3330.672927-0 3330.671017-1,,,,,,,,,,,,,,,
